"Knowledge","Interest","Algeria","Argentina","Australia","Belgium","Bosnia.and.Herzegovina","Brazil","Cameroon","Chile","Colombia","Costa.Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Ivory.Coast","Japan","Mexico","the.Netherlands","Nigeria","Portugal","Russia","South.Korea","Spain","Switzerland","United.States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Income","Education","Location","ID"
"Intermediate","Some",,,"2",,,,,,,,,,"3","4","4",,"3",,,"5",,"2","4",,,,"2",,"3",,"4",,"2","3","2",,"3",,,"3","Female","30-44","$25,000 - $49,999","Bachelor degree","West North Central",3308528776
"Novice","Some",,,"4",,,,,,,,,,"4","3","3",,,,"4","4",,"4","3",,,,,"3",,"4","5",,"4","5","5","4",,,,,"Male","30-44","$100,000 - $149,999","Graduate degree","New England",3308523787
"Intermediate","A lot",,,,,,,,,,"4",,,"3","4",,,"5",,,"5",,"5","4",,,,,"4","4",,"3",,"5","4","5",,,"4","4",,"Female","18-29",,"Some college or Associate degree","New England",3308522464
"Novice","Some",,,,,,,,,,,,,"2","3","2",,"3",,,"5",,"4","4",,,,,,"4",,"4",,"4","1","2",,"2",,,"1","Female","30-44","$25,000 - $49,999","Some college or Associate degree","Mountain",3308522397
"Novice","Some",,,,,,,,,,,,,"3","3","4",,,,,"4",,"4","3",,,"3",,,"3",,"3","3","4",,"4",,"3",,,"3","Female","18-29","$0 - $24,999","Some college or Associate degree","Middle Atlantic",3308521884
"Novice","A lot",,"4",,"5",,"4",,,,,,,"4","5","4",,"5",,,"5",,"3","5","3",,,"3",,"5","4","5",,"5","4","5",,,,,,"Female","45-60","$50,000 - $99,999","Bachelor degree","West South Central",3308521861
"Intermediate","Some",,,"3","3",,"3",,,,"3",,,"3","3","3",,"3","3","2","5",,"5","4","3",,,"2","3","5","3","3",,"5","4","4","3","4",,"5","3","Male","30-44","$50,000 - $99,999","Bachelor degree","New England",3308520047
"Novice","Not much",,,,,,,,,,"3",,,"2","2","2",,"3",,,"3",,,"3",,,"3",,,"3",,"3",,"3",,,,,,,"3","Male","> 60","$100,000 - $149,999","Graduate degree","Middle Atlantic",3308519774
"Intermediate","Not much",,"3","4","3",,"3",,"3","3","3","3","2","3","3","4",,"4","3","2","4",,"3","4","3",,"3","3","3","4","3","5",,"4","2","3","2","3","2","3","3","Male","30-44",,"Bachelor degree","Middle Atlantic",3308518535
"Novice","Some",,,,,,,,,,,,,"3","5","4",,,,,"5",,"5","4","4",,,"3",,"5","4","5",,"3",,"4",,"4",,"4","3","Female","> 60",,"Some college or Associate degree","New England",3308517972
"Intermediate","A lot",,"4","3","3",,"3",,"3","3","3",,"3","4","3","4",,"4",,,"5",,"2","4","3",,"3",,"2","3","3","5",,"4","4","4",,"4",,"4","4","Female","45-60","$150,000+","Bachelor degree","Pacific",3308517928
"Novice","Some",,,"4",,,,,,,,,,"3","3","3",,,,,"4",,"2","3",,,,,,,,"4",,"3","1","3",,,,,,"Male","30-44","$100,000 - $149,999","Bachelor degree","West North Central",3308517266
"Intermediate","A lot",,,,,,"5",,,,"4",,,"3","5","3",,"5","5","4","5",,"5","5",,,,,"5",,,"3",,"5","5","5",,"4",,"4","3","Female","45-60",,"Graduate degree","South Atlantic",3308516573
"Novice","Some",,,,,,,,,,,,,"3","4","3",,"2",,,"5",,,"3",,,,,,,,"4",,"2","2",,,,,,"3","Female","> 60","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic",3308515824
"Intermediate","A lot",,,"3",,,"4",,,,,,,"4","5","4",,"4",,,"5",,"4","4","4",,,"3","4","3",,"4",,"5","5","4","4",,"4","3","4","Female","> 60","$50,000 - $99,999","Bachelor degree","South Atlantic",3308515754
"Novice","Not much",,,,,,,,,,,,,"3","4","3",,,,,"5",,"2",,,,,,,,"3","4",,"3",,,,,,,"3","Female","45-60","$25,000 - $49,999","Bachelor degree","Middle Atlantic",3308515696
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308514652
"Novice","Some",,,"4","4",,,,,,,,,,,,,"4",,,"4",,"4","5",,,,,,"4",,"5",,"4","4","4",,"4","4",,,"Female","45-60",,"Some college or Associate degree","Middle Atlantic",3308514506
"Novice","Not much",,,,,,,,"3",,,,,"4","3",,,"3",,,"5",,"3","4",,,,,,"3",,"5",,"4",,,,,,,"3","Female","30-44","$25,000 - $49,999","Bachelor degree","South Atlantic",3308513723
"Intermediate","Some",,,,,,,,,,,,,"2","5","5",,"5",,"4","5",,"4","5",,,,,"3","3","4","3",,"3","4","3",,"2","4","3",,"Female","30-44","$150,000+","Graduate degree","Pacific",3308513693
"Intermediate","Not much",,,"3",,,,,,,,,,"3","3",,,,,,"3",,"3","3",,,,,,"3",,"5",,"3","3",,,,,,"3","Male","45-60","$0 - $24,999","Bachelor degree","East North Central",3308513616
"Intermediate","Some",,"3","3","4",,,,"3",,,,,"4","3","4",,"4",,,"4",,"4","4",,,,,,"3","4","5",,"3","3","4","3",,,,"4","Female","45-60","$100,000 - $149,999","Bachelor degree","East North Central",3308511506
"Intermediate","A lot","3","4",,,,,,,,,,,,"3","3",,,,,"4",,"2","4",,"3",,,,"4",,"3",,"5","4","4","4",,"3","5",,"Male","18-29","$50,000 - $99,999","Graduate degree","East North Central",3308511162
"Intermediate","Some",,"3",,,,"4",,,,,,"3","4","4","1",,"4","3",,"4","4","2","3","4","3","4","4","3","4","3","3","3","4",,"3",,"3","3","4","4","Male","45-60","$0 - $24,999","Some college or Associate degree","Mountain",3308510652
"Novice","Some",,,,,,,,,,,,,"3",,,,"3",,,"3",,,,,,,,,,,"5",,"4",,,,,,,"5","Female","> 60","$50,000 - $99,999","High school degree","South Atlantic",3308509796
"Intermediate","Some",,"3","2",,"3",,"5","3","3",,"2",,"1","4","2",,"4",,,"3",,"3","3","3",,"4","2","3","4","3","3",,"3","4","5","5","4","4","5","2","Female","45-60",,"Graduate degree","East North Central",3308508238
"Expert","A lot","5","1","2","2","2","5","1","1","5","3","5","2","2","2","3","2","1","2","1","3",,,"5",,,,,,,,"5",,"2","1",,,,,"1",,"Female","18-29",,"High school degree","West South Central",3308507779
"Intermediate","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Male","18-29","$50,000 - $99,999","High school degree","West North Central",3308506192
"Intermediate","A lot",,"5","2","4","3","5",,"4",,,,,"2","5","2",,"5",,"4","5",,"5","5",,,,"2",,"5",,"4",,"5","5","5","5","5",,"5","3","Female","30-44","$0 - $24,999","Bachelor degree","Mountain",3308506179
"Intermediate","A lot",,,,,,,,,,,,,,,,,,,,,,"5","4",,,,,,"2",,"4",,"5","4","4",,"3",,"2","4",,,,,,3308505476
"Intermediate","Some",,"3","3","4",,"3",,,"3","3",,,"4","4","4",,"3","3",,"4",,"3","5",,"1","3",,,"3",,"5",,"4","3","3",,"4",,"3","5","Male","30-44","$100,000 - $149,999","Some college or Associate degree","East North Central",3308505262
"Novice","Some",,,,,,,,,,,,,"3",,"2",,"4",,,"3",,"2","5",,,,"2","2",,,"4",,"3","2","3",,,,"3",,"Male","30-44","$25,000 - $49,999","Bachelor degree","West North Central",3308504722
"Novice","Not much",,,,,,,,"4",,,,,"3","2",,,"3",,,"3",,"3","5",,,,,"4",,"3","4",,"4","3","3",,,,,"4","Male","18-29","$50,000 - $99,999","Less than high school degree","Mountain",3308503470
"Intermediate","Some",,,,,,,,,,,,,"3","4","2",,"3",,,"4",,"3","4",,,,,"2","4",,"5",,"5","2","3",,"3",,"2","3","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central",3308502458
"Intermediate","Some",,,,"4",,,,,,,,,"3","4","4",,"2",,,"4",,"4","4","4",,,"3",,"3",,"4",,"4","2","3",,,,,"4","Male","45-60","$25,000 - $49,999","Some college or Associate degree","East North Central",3308502264
"Intermediate","Some","2",,"3","4",,"3","2","3","2","3",,"2","2","5","2",,"3","3","3","4",,"2","3","3","3","3","3","2","4","4","4","3","2","4","2","3","4","3","2","2","Female","45-60","$50,000 - $99,999","Graduate degree","West South Central",3308501552
"Novice","Not much",,,,,,,,,,,,,"3",,"3",,"3",,,"3",,"2","3",,,,,,,,"4",,"5",,,,,,,,"Male","45-60","$50,000 - $99,999","Graduate degree","West North Central",3308501248
"Intermediate","Some",,"3",,,,"3",,,,,,"4","3","4","2",,"4",,"4","5",,"2","5",,,,,"3","5",,"3",,"5","5","5","4","3",,"5","3","Female","45-60",,"Graduate degree","Middle Atlantic",3308501229
"Novice","A lot",,,,,,,,,,,,,"5","4","4",,"4",,"5","4",,"4","4",,,,,"3",,,"3",,"5","5","5",,,"4","4","5","Male","18-29",,"Bachelor degree","West South Central",3308501154
"Intermediate","Some",,"3","3","3",,"3",,,,"3",,,"2","3","3","1","4",,,"5",,"4","5","3",,"3","2","3","4","3","4","3","4","5","5","3","3","3","4","2","Male","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic",3308500976
"Intermediate","Some",,"3",,,,"3",,,,"3",,,,"4","3",,"5",,,"4",,"1","5",,,"3","1","2","4","3","3",,"5","1",,"2",,,"2","3","Female","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic",3308500092
"Intermediate","Some",,,,,,,,,,,,,,,,,,,,,"2","2","3",,,,"2",,"3","3","2",,"4","3","3","2","3",,"2","3",,,,,,3308500016
"Intermediate","Not much",,"3","3",,,"3",,,"3",,,,,,"3",,"5","3",,"5",,"3","4",,,,,,"3",,"4",,"3","4",,"4","4",,"3",,"Male","30-44","$0 - $24,999","Less than high school degree","South Atlantic",3308499920
"Intermediate","Some",,,"1","4",,,,"4",,,,,"1",,"1",,"3",,"5","5",,,"5",,,,"2","2","4",,"5",,"3","5","4",,"4",,"1",,"Male","30-44","$0 - $24,999","Graduate degree","Pacific",3308499516
"Intermediate","A lot",,"3",,,,,,,,"4",,,"4",,"5",,"5",,,"4",,"5","5",,,,,,"5",,"5",,"5","5","4",,"5",,,"4","Female","45-60","$100,000 - $149,999","Graduate degree","Pacific",3308499253
"Intermediate","Not much",,,,,,,,,,,,,"4","3","3",,"3",,,"3",,"3","3",,,,,,"3",,"5",,,,,,,,,,"Male","> 60","$50,000 - $99,999","High school degree","Pacific",3308499214
"Novice","Not much",,,,,,,,,,,,,"5","5","4",,"5",,,"5",,"3","3",,,,,,,"3","5",,"3","4","3","3",,,"3","4","Female","> 60",,"Some college or Associate degree","South Atlantic",3308499030
"Intermediate","A lot",,"4",,,,"4",,,,,,,"4","5","4",,"4",,,"5",,"3","3","3",,"3","4","3","4","3","4",,"4","3","4",,"3",,"4","3","Female","> 60",,"Graduate degree","New England",3308498447
"Intermediate","A lot",,,,,,,,,,,,,"3","3","3",,"3",,,"4",,"4","3",,,,"4","4",,,"3",,"4","4","4",,,,,"4","Female","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central",3308498332
"Novice","Some",,,,,,,,"3",,,,,"3",,"3",,"4",,,"4",,,"3",,,,,,"4",,"4",,"3","3",,,"3",,"3","3","Female","30-44",,"Some college or Associate degree","South Atlantic",3308498269
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,"4",,"4",,,,,,,,"Female","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic",3308497972
"Intermediate","Not much",,"3","4","4",,"3",,,"3","3",,"3","2","4","5",,"3",,,"3",,"4","4","3",,,,"4","3","4","4",,"4","2","4",,,,"3","3","Male","> 60","$50,000 - $99,999","Bachelor degree","South Atlantic",3308497814
"Novice","Not much",,"2",,,"3","2",,"2",,,"3","2","2","2","3",,"4",,,"5",,"5","5",,,,"3","2",,,"5",,"4","1","2",,"2",,"2","3","Female","30-44","$50,000 - $99,999","Bachelor degree","Pacific",3308497594
"Intermediate","A lot",,"3",,,,,,,"3","4",,,"2","5","4",,"4","4","4","5",,"4","5",,,"4","3","3","4",,"4",,"4","5","4","3","4","3","4","3","Female","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic",3308497447
"Advanced","A lot",,"3","3","4",,"4","4","4","4","3",,"4","2","2","2","4","5","3","4","3",,"5","5","3",,"4","4","3","4","4","4",,"2","4","4","4","4","5","5","2","Female","30-44","$150,000+","Graduate degree","West South Central",3308496290
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308496212
"Intermediate","Some","3","4","2","4",,"4","4","3","3",,"2",,"1","3","3","3","2","3",,"5",,"4","4","3",,"4","2","2","4","3","2",,"4","4","4","2","3","3","3","3","Male","45-60","$150,000+","Graduate degree","Pacific",3308495050
"Intermediate","Some",,,,"3",,,,,,,,,"4","4","4",,"4",,,"4",,"4","4",,,"3",,,"3",,"5",,"3","3","2","3","3",,,"3","Female","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic",3308494928
"Novice","A lot",,,,,,,,,,,,,,"5",,,"5",,,"5",,"4","5",,,,,,,,"3",,"3","3",,,,,,,"Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific",3308494748
"Novice","Some",,,"4",,,,,,,,,,"4",,,,,,,"4",,"5","4",,,,,"5",,,"4",,"5",,"4",,,,"5",,"Male","18-29","$25,000 - $49,999","High school degree","Pacific",3308494386
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,"5","3","4","3",,"4","4",,"5","5",,"5","5","4",,,,"3",,,,,,,3308493905
"Novice","Some",,,,,,,,,,,,,,,"3",,"4",,,"5",,"5","4",,,,,,,,"4",,,,"5",,,,,"4","Male","30-44",,"Some college or Associate degree","New England",3308493867
"Intermediate","Some",,,,"4",,,,,,,,,"3","4","4",,"4",,,"5",,"4","5",,,"4","4",,"4",,"5",,"3","1","1",,,"3","2","3","Female","30-44","$50,000 - $99,999","Graduate degree","East North Central",3308493784
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,"5",,,"4",,,,,,,,"5",,"3",,,,"2",,,"3","Female","45-60","$50,000 - $99,999","High school degree","East North Central",3308492209
"Intermediate","A lot",,,,,,,,,,,,,,,"4",,"4",,,"4",,"3",,,,,,,,,"3",,,,,,,,,,"Female","18-29","$25,000 - $49,999","High school degree","East North Central",3308491821
"Intermediate","Some",,,"3",,,,,,,,,,"3","4","3",,"3",,,"3",,"4","3",,,,"3","3","3",,"3",,"5","4","4",,"3","3","3","3","Male","45-60","$100,000 - $149,999","Some college or Associate degree","West North Central",3308491463
"Intermediate","A lot",,,,,,"3",,,,,,,"3","5","5",,"4",,"4","5",,"4","5",,,,"2",,"4",,"3",,"4","5","5",,"3",,,"3","Female","18-29",,"High school degree","West South Central",3308490816
"Novice","Some",,,,,"3",,,,,,"4",,"3","4",,,"5",,,"4",,,"4","5",,,"4",,"5",,"4",,,,,"4",,,,"4","Male","> 60","$100,000 - $149,999","Bachelor degree","Pacific",3308489755
"Intermediate","Some",,"3","3","4",,"4",,,,,,,"4","5","4",,"5",,,"5",,"4","4","4",,"4",,"5","4","3","4",,"5","3","4","4",,,"4","4","Female","> 60","$150,000+","Graduate degree","South Atlantic",3308489545
"Novice","Some",,"4",,"3",,"4",,"4","3",,,,"2","5","2",,"5","3","3","3",,"5","3","3",,"4","3","3","4","3","3",,"3","3","4","4","4","3","3","3","Female","30-44",,"Graduate degree","Middle Atlantic",3308488398
"Intermediate","A lot",,"3","4","3",,"4",,,"3","4",,"3","3","5","3","3","4",,"3","4","4","5","4","4","3","4","5","4","3","4","4",,"4","4","5","4","3",,"4","3","Female","45-60",,"Graduate degree","Middle Atlantic",3308487720
"Novice","Not much",,,,,,,,,,,,,"3",,"2",,"2",,,"5",,"3","3",,,,,,,,"4",,"3",,"4",,,,,"3","Female","45-60","$50,000 - $99,999","Graduate degree","Middle Atlantic",3308487702
"Novice","Not much",,,,,,,,,,,,,"3",,"4",,"3",,,"4",,,"4",,,,,,,,"4",,"3","2",,,,"3",,,"Female","18-29","$0 - $24,999","Some college or Associate degree","Middle Atlantic",3308487223
"Intermediate","A lot",,,,"4",,,,"4",,,,,"3","5","4",,"5",,"4","4",,"4","4",,,"4","3","2","5",,"5",,"5","5","4","4","4","3","4","4","Female","45-60","$150,000+","Bachelor degree","South Atlantic",3308485509
"Intermediate","Some",,,,,"3",,,,,,,,"3","3","3",,"3",,,"4",,,"3","3",,,"3",,,,"4",,,,,,,,,"3","Female","> 60",,"Bachelor degree","Mountain",3308485325
"Advanced","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female","> 60","$25,000 - $49,999","Graduate degree","South Atlantic",3308485079
"Intermediate","Not much","2","3","2","4",,"2","2","3","2","3",,,"3","4","4",,"4","2",,"4",,"3","4",,,,,,"3",,"3",,"3",,,,,,,,"Male","18-29","$25,000 - $49,999","High school degree","West South Central",3308485047
"Novice","Some",,,,"4",,,,,,,,,"3","4","3",,"4",,,"5",,"3","5",,,,,,"4","4","5",,"4","3","4",,"3",,,"3","Female","30-44",,"Bachelor degree","West South Central",3308484063
"Intermediate","A lot",,"3",,,,,,,,,,"3","3",,,,,,,"3",,"4","4",,,,,,,,"3",,"4",,"4",,,,"4",,"Female","45-60","$25,000 - $49,999","Bachelor degree","Pacific",3308483613
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308482933
"Intermediate","A lot",,"4",,,,,,,,,,,"3","4","3",,"4",,,"5",,"5","3",,,,,,,,"5",,"4","3","4",,,,,,"Female","> 60",,"Bachelor degree","South Atlantic",3308482858
"Intermediate","Some",,,,,,,,,,,,,"3","3","4",,"3",,,"3",,"3","3",,,,"3","3","3",,"2",,"3",,,,,,,"3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3308482775
"Intermediate","Some",,"3",,"4",,"4",,"3",,"4",,,"2","5","3",,"4",,,"5",,"3","4","3",,,,,"3","3","5",,"4","3","4",,"3","2","4","3","Female","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific",3308482432
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,"4",,"4",,,,,,,,,,,,,3308482382
"Intermediate","Some",,,"4","2",,,,"4","3","3",,,,"4","2",,"5","3",,"4",,"4","4",,,"3",,"3","2",,"3",,"5","3","4",,"2",,"2",,"Female","30-44","$25,000 - $49,999","High school degree","South Atlantic",3308481648
"Intermediate","Some",,,"3",,,"3",,,"3",,,,"4","3","3",,"3",,,"5","4","4","3",,,"3","3","4","4","3","4",,"4","3","3",,"3",,"3","4","Male","> 60","$0 - $24,999","Graduate degree","West North Central",3308480348
"Intermediate","Some","2","4","3","4","2","4","3","3",,"3","2","3","2","4","4","2","3","2",,"4",,"3","4","5",,"4","2","2","4","4","4",,"3","2","4","2","3","3","2","3","Female","45-60","$150,000+","Graduate degree","Pacific",3308480339
"Intermediate","A lot",,"5","4","4",,"4",,"3","4","3",,,"3","5","3",,"5","3",,"5",,"4","5","3",,"4","2","3","5","4","5",,"4","3","4",,"5",,"2","5","Male","45-60","$25,000 - $49,999","Bachelor degree","West North Central",3308477919
"Intermediate","Some",,,"3","4",,,,,,,,,"3","3","4",,"4",,,"4",,"4","4",,,"3",,"2","3","3","3",,"1","5","1",,,,"2",,"Male","30-44","$25,000 - $49,999","Bachelor degree","Mountain",3308477899
"Intermediate","Some",,,"3",,,"3",,,,,,,"3",,"3",,"3",,,"4",,"3","3",,,,"3",,,,"3",,"4","3","4",,"3",,"3","3","Male","30-44",,"Some college or Associate degree","Pacific",3308477084
"Advanced","A lot","3","4","4","3","3","3",,"4","4","4","4","3","4","4","3",,"4","3",,"4",,"3","4","3",,"4",,,"4","3","4",,"3","3","3","4",,,"4","4","Male","> 60","$100,000 - $149,999","Some college or Associate degree","Pacific",3308476176
"Intermediate","A lot",,,,,,"3",,,,,,,"2","5","3",,"4",,,"5",,"4","4","3",,,,"4","4",,"4",,"3","2","4",,"4",,"4","3","Female","> 60","$50,000 - $99,999","Some college or Associate degree","Mountain",3308475877
"Novice","Some",,,,,,,,,,,,,"3",,"3",,"4",,"1","4",,"5","4",,,,,,"3","4","5",,"4","2",,,,,,,"Male","> 60",,"Some college or Associate degree","South Atlantic",3308475863
"Novice","Not much",,,,,,,,,,,,,,"3","3",,,,,"3",,,"4",,,,,,,,"5",,,"2",,,"3","1",,,"Male","> 60","$25,000 - $49,999","Bachelor degree","West South Central",3308475386
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,"Female","> 60","$0 - $24,999","High school degree","West North Central",3308474910
"Novice","A lot",,,,,,,,,,,,,"3","4","2",,"4",,,"4",,"2","4",,,,"3",,,,"3",,"3","4","5","4",,"4",,,"Female","> 60",,"Bachelor degree","East South Central",3308473959
"Expert","A lot","3","5","3","3","4","5","3","4","4","4","4","4","2","5","3",,"4","4","3","5","3","5","5","3","2","4","2","4","5","3","5","4","5","3","5","3","3","4","4","3","Female","> 60","$50,000 - $99,999","Graduate degree","West South Central",3308473082
"Intermediate","Some",,"3","3","3","2","4",,"3","3","3",,"3","3","4","3",,"3",,,"4",,,"4","3",,,,"2","3","3","4",,"3","2","2",,,,"2",,"Female","45-60",,"Bachelor degree","East North Central",3308472701
"Novice","A lot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308472497
"Novice","Some",,,,,,,,,,,,,"3","3",,,,,"4","3",,"4","3",,,,,"4",,,"3",,"4","4","4",,,,"5",,"Male","18-29",,"Bachelor degree","West South Central",3308471495
"Intermediate","A lot",,"5",,"5",,"5",,"4",,,,"5","2","5","4",,"4","5","4","5",,"5","5",,,,"4","4","4",,"5",,"4","4","5",,"4","4","4","4","Female","18-29","$0 - $24,999","Graduate degree","Pacific",3308471030
"Intermediate","A lot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308470589
"Intermediate","A lot",,,,,,,,,,,,,,,,,,,,,,"3","4",,,,"3",,,,"3",,"3","4","5","4",,"4",,,,,,,,3308470400
"Novice","Some",,,,,,,,,,,,,,"3",,,,,,"4",,"3","5",,,,,,,,"4",,"3",,"3",,,,,,"Male","18-29","$0 - $24,999","High school degree","Pacific",3308470085
"Novice","Some",,,,,,,,,"3",,,,"4","3","4",,"3",,,"4",,"4","5",,,,,,"3",,"4",,"4","3","5",,,"3","4","3","Male","45-60","$50,000 - $99,999","Graduate degree","West North Central",3308469911
"Intermediate","A lot",,,,,,,,,,,,,,,,,,,,,,"3","4","3",,,"2",,,"3","3",,"4","4","4","4","4",,"3","3",,,,,,3308469567
"Intermediate","Some",,,"3",,,,,,,,,,"3","3","3",,,,,"3",,,"3",,,,,"3",,,"5",,,"3",,,,,,,"Female","> 60","$0 - $24,999","High school degree","Pacific",3308469367
"Novice","Some",,,,,,,,,,,,,"4","3","3",,"4",,,"5",,"4","4",,,"3",,"4",,,"5",,"4","4","5",,"4",,,"4","Male","45-60","$50,000 - $99,999","Bachelor degree","East South Central",3308468406
"Novice","Some",,,"4","3",,"3","3","4","3","3",,"2","3","4","3",,"3",,"2","5",,"4","4","3",,,,"2","4","3","5",,"4","1","4",,"4",,"2","3","Female","45-60","$50,000 - $99,999","Some college or Associate degree","West South Central",3308467785
"Novice","Not at all",,,,,,,,,,,,,,,"3",,,,,,,,"4",,,,,,,,"4",,"4",,,,,,,,"Male","30-44","$50,000 - $99,999","High school degree","West North Central",3308467382
"Intermediate","Some",,,,,,"3",,"4",,"4",,,"4","4","4",,"4",,,"5",,"4","5",,,,,,"4",,"5",,"4","4","5",,"3",,,"4","Female","45-60",,"Some college or Associate degree","Mountain",3308467363
"Intermediate","Some","4","5","5","4","3","5","4","4","4","4","3","4","4","4","5","4","5","4","2","5","5","5","5","4","4","4","3","5","4","5","5","4","5","3","4","5","4","2","5","3","Male","45-60","$25,000 - $49,999","Some college or Associate degree","West South Central",3308466992
"Intermediate","Some","4","4",,"4",,"4",,"3","4","4",,"3","2","5","3","2",,,"3","5",,"3","3","3",,"4","4","2","5","3","3","4","3","3","3","4","4","3","3","2","Female","45-60",,"Graduate degree","East North Central",3308465416
"Novice","Some",,,"3","3",,,,,,,,,"3","4","4",,"3",,,"3",,"3","3",,,,"3",,,"3","5",,"3","3","3",,,,,"3","Female","> 60","$25,000 - $49,999","Graduate degree","Mountain",3308464469
"Novice","Some",,,,,,,,,"3",,,,"3",,,,"3","3",,"4",,"4","3",,,,,,,,"3",,"3",,,,"3",,,"3","Female","30-44","$0 - $24,999","Some college or Associate degree","West North Central",3308464349
"Expert","A lot","5","4","5","5","4","5","5","5","3","4","4","4","5","5","5","5","4","4","5","4","5","5","5","5","3","5","5","5","5","5","5","4","5","3","5","5","5","5","5","5","Female","> 60",,"Some college or Associate degree","West North Central",3308463843
"Advanced","A lot",,,"3",,,"3",,,,,,,"3","3","3",,"4",,"3","4",,"4","3",,,,"3","3","4","3","3",,"4","3","4",,"3","3","3","3","Female","30-44",,"Some college or Associate degree","Pacific",3308463583
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308462563
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308461324
"Intermediate","Some",,,"4","3",,"3",,"3",,"3",,,"4","4","4",,"3",,,"4",,"3","3",,,,"3",,"3","3","4",,"3","3",,,,,,"3","Female","> 60",,"High school degree","East North Central",3308460091
"Novice","Not much",,,,,,,,,,,,,"3",,"4",,,,,"3",,,"3",,,,,,,"3","5",,"3",,,,,,,,"Male","45-60","$0 - $24,999","High school degree","East North Central",3308459440
"Intermediate","Not much","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Male","18-29","$0 - $24,999","Less than high school degree","East North Central",3308458968
"Intermediate","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308458456
"Intermediate","A lot",,"4","4","4",,"4",,"4","4","3",,"3","4","5","4",,"5","3","3","5",,"4","4",,,"4","3",,"4",,"3","3","4","5","4",,"5",,"3",,"Female","> 60","$50,000 - $99,999","Bachelor degree","Pacific",3308457296
"Novice","Not much",,,"3",,,"3",,,,"3",,,"4","4","3",,"2","3",,"4",,"3","2",,,,,,,"3","5",,"3","2",,,,,,,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","South Atlantic",3308456540
"Advanced","A lot","3","3","3","3",,"3",,"3","4","3",,"3","3","5","3",,"3",,,"5",,"5","3",,,"3","3","3","4","3","5",,"4","3","3","3","3",,"3","3","Female","> 60","$0 - $24,999","High school degree","Middle Atlantic",3308456526
"Novice","Some",,,,,,,,,,,,,,,,,,,,"4",,"5","3",,,,,,,,"5",,,,"3",,,,,,"Female","18-29","$0 - $24,999","Some college or Associate degree","New England",3308456134
"Novice","Some",,"3",,,,,,,,,,,"2","3","4",,"4",,,"5",,,"4",,,,"2",,"3",,"4",,"3","2","4",,,,,"2","Male","> 60","$100,000 - $149,999","Graduate degree","South Atlantic",3308456133
"Novice","Some",,,,,,,,,,,,,"3","3","2",,,,,"5",,,"4",,,,"3",,,,"4",,"3","4",,,,,,"3","Female","18-29",,"Some college or Associate degree","Mountain",3308453814
"Intermediate","A lot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308453107
"Intermediate","Some",,"4","2","3",,"4",,"3","3","4",,,"2","4","4",,"4",,,"5",,"4","5",,,,,"3","4","4","5","4","4","3","3",,"4","2","2","3","Male","30-44","$25,000 - $49,999","Some college or Associate degree","Mountain",3308451320
